feature	ASV2	ASV3	ASV4	ASV6	ASV7	ASV9	ASV10	ASV11	ASV12	ASV14	ASV15	ASV17	ASV18	ASV21	ASV23	ASV24	ASV25	ASV27	ASV28	ASV29	ASV31	ASV32	ASV34	ASV35	ASV36	ASV39	ASV40	ASV45	ASV46	ASV47	ASV48	ASV49	ASV54	ASV57	ASV62	ASV64	ASV66	ASV70	ASV73	ASV74	ASV76	ASV83	ASV91	ASV92	ASV97	ASV102	ASV104	ASV116	ASV144
22010-0051	0	7.44973836408703	28.532084825117	0	0	0	0.1239328008813	0.220324979344533	0.550812448361333	0	0	0.950151473423299	0.385568713852933	0	0.1652437345084	0.2478656017626	0.0963921784632333	0	0	0	0.564582759570366	0	0.0413109336271	5.9074635086753	0.0550812448361333	0.1652437345084	0	0.633434315615533	0	0.0550812448361333	0.0137703112090333	0	0	0.0963921784632333	0	0	0	24.7590195538419	0.192784356926467	0	0	0	0	0	0.0550812448361333	2.54750757367117	0	0	0
22010-0052	0	0.887968033150807	17.3449755808791	0	2.50850969365103	0	0.614177889595975	2.33091608702087	5.17241379310345	13.4527157022347	0	0.443984016575403	0.295989344383602	0	1.84253366878792	2.13852301317153	0	0	0	0	0.806570963445316	0.369986680479503	0.717774160130235	1.4133491194317	0.688175225691875	0	0.184993340239751	0	1.10256030782892	0	1.82033446795915	0	0	0.184993340239751	0.266390409945242	0	2.3087168861921	3.36687879236348	0.355187213260323	0	0.236791475506882	0.110996004143851	0	0.406985348527453	0.347787479650733	0	0.177593606630161	0	1.06556163978097
22010-0053	0	0.210762961922158	22.3455575851248	2.93663060278207	5.25502318392581	0.0843051847688633	0	2.38864690178446	0.402791438340125	15.2170858507798	0	0.25291555430659	0.955458760713784	0	0	0.412158681092221	0	0	0	0.0983560488970072	0.112406913025151	0	0	1.19900707226828	0.177977612289822	0	0	0.697859585031146	0.379373331459885	0	0	0	0	0	0	0	0	2.08421151234134	0	0	0	0	0	0	0	0	0	0	0
22010-0054	6.91861627674465	4.19916016796641	1.28974205158968	0	3.27934413117376	0	6.42871425714857	1.58968206358728	0.0599880023995201	3.00939812037592	0	0.569886022795441	1.1997600479904	0	0.0999800039992002	0.0999800039992002	0.359928014397121	0.0899820035992801	20.875824835033	0.349930013997201	0	0	0.02999400119976	0	0	0	3.1493701259748	0	0	0.02999400119976	0.02999400119976	1.0497900419916	0.23995200959808	0.13997200559888	0	0.879824035192961	0	0	0.10997800439912	0	0	0	0	0	0.0799840031993601	0.27994401119776	0	0	0
22010-0055	0.672525107604017	0.0627690100430416	0.107604017216643	7.49641319942611	0.475251076040172	3.47919655667145	0	0.0717360114777618	11.280487804878	0.0269010043041607	3.75717360114778	0	3.0577474892396	0.224175035868006	0.152439024390244	1.78443328550933	0.170373027259684	0	0.627690100430416	0.421449067431851	0	0	0.260043041606887	0	0.0627690100430416	0	0	0	0	0.0717360114777618	0	0.0896700143472023	0.197274031563845	0	0	0	2.76183644189383	0	0.0179340028694405	0	0	0.134505021520803	0	0	0	0	1.14777618364419	0	1.45265423242468
22010-0056	0.407464754298753	2.89707440306413	0.391166164126803	4.88142775649906	0.806780213511531	1.52391818107734	0.843452041398419	0.069269008230788	0.505256295330454	0.399315459212778	4.7714122728384	0.293374623095102	0.142612664004564	0.118164778746638	0.29744927063809	0.867899926656344	0.114090131203651	0	1.80506886154348	0	0	0.431912639556678	0.220030967321327	0	0.399315459212778	0.150761959090539	1.21424496781028	0.305598565724065	0.187433786977426	0	2.24920544372912	0	0	1.27943932849808	0.0977915410317008	0.195583082063402	2.90522369815011	0	0.0488957705158504	0.114090131203651	0	0.509330942873441	0.220030967321327	0	0	0	0	0	1.60948577948007
22010-0057	0.10697911360163	0.203769740193581	0.10697911360163	60.5501782985227	0.163015792154865	3.4793683138054	0	0.0611309220580744	2.44523688232298	0.198675496688742	5.36423841059603	0	1.20733571064697	0.0458481915435558	0	0.417727967396842	0.988283239938869	0	0.519612837493632	0	0.147733061640346	0	0.0203769740193581	0	0	0	0	0	0	0.0152827305145186	0	0	0.132450331125828	0	0	0	0.407539480387162	0	1.18186449312277	0	0	0	0	0	0	0	0	0	0.21395822720326
22010-0058	0	15.6150863588297	0	0.0704970038773352	0.146029508031623	5.45848230021653	4.99018077445994	0.0856035047081928	0.16113600886248	0.0402840022156201	0	5.27216878996928	0	21.1591721637545	0.458230525202679	0.397804521879249	1.26391056951508	0	0.402840022156201	12.8455612065059	0.543834029910872	0	0.201420011078101	0	0.206455511355053	0.287023515786293	0.0805680044312402	1.64660859056347	0	0	0.196384510801148	0	7.17055239438038	0	0	0	0.0302130016617151	0	0	0	0.438088524094869	0.146029508031623	1.2941235711768	0	0	0	0.0251775013847626	0	0
22010-0059	7.66137140559019	7.82224009652121	0	0.0502714659159461	5.86165292579932	0	1.38749245928011	1.90026141162276	0.301628795495677	6.07279308264629	0	0.251357329579731	0.0703800522823246	0	0	0.13070581138146	0.754071988739192	0	0	0.160868690931028	0	0.985320731952544	0	1.8700985320732	0	0	0.924994972853408	0	0	0	0	0	0.0402171727327569	0	0	0	0	0	0	0.251357329579731	0	0	0.0201085863663784	0	0	0	0	0.583149004624975	0
22010-0060	1.31371518654756	0.486074619022596	0.157645822385707	0	5.76064109301103	0	0.131371518654756	0.715974776668418	0.82764056752496	0.05911718339464	0	0.229900157645822	0.321860220704151	0.0525486074619023	0	2.81135049921177	0.683131897004729	0	2.66684182869154	0	3.15291644771414	0.0722543352601156	0.091960063058329	0.669994745139254	0.348134524435102	0	0.0656857593273778	0	0	0	0	0	0	0	1.79322122963741	0	0	0	0	0.105097214923805	0.137940094587493	0	0	0	0	0	1.25459800315292	0.157645822385707	0.0656857593273778
22010-0061	0.0935374149659864	6.16496598639456	0	0	0	0	8.40986394557823	0	0.076530612244898	0	0	3.56292517006803	0	0	3.01020408163265	0.620748299319728	0.297619047619048	0	0	2.52551020408163	0.136054421768707	6.25850340136054	2.11734693877551	0	1.35204081632653	0.552721088435374	2.45748299319728	0	0.425170068027211	0.586734693877551	1.36904761904762	0	3.64795918367347	0	0.790816326530612	0	0.0425170068027211	0	0	1.34353741496599	0.850340136054422	1.19897959183673	0	0	0	0.32312925170068	0.136054421768707	0	0
22010-0062	0	0.980694187718217	0	0	0	0.0410761963442185	5.89443417539536	0	0.0205380981721093	0	32.7736701581434	1.88950503183405	0	0	0.0102690490860546	0.107825015403574	0.205380981721093	0	0	0.636681043335387	0.154035736290819	0	0.0154035736290819	0	0.0564797699733005	0.102690490860546	0.379954816184021	5.40665434380776	0.138632162661738	0.0102690490860546	0	7.14725816389402	0.0359416718011912	0.112959539946601	0	0.703429862394742	0	0	0.164304785376874	0	0	0	0	0.0462107208872458	0	0.118094064489628	0	0	0
22010-0063	0	0.680846275039388	0	0	0	0.0731487733513392	0.458586540625703	0	3.98660814764799	0	0.0478280441143372	0	1.37294620751744	0.120976817465676	5.3623677695251	2.71494485707855	0.545802385775377	0	0	3.47738014854828	0.844024307900068	0	2.55458023857754	0	3.03848750844024	1.59239252757146	0	1.99189736664416	1.36169255007878	0.329169480081026	1.82027909070448	0	0	0	2.82748143146523	0	1.49954985370245	0	0	0	0.374184109835697	1.31386450596444	1.50799009678145	0.0815890164303399	0	0.00844024307900068	1.14505964438442	0	0.154737789781679
22010-0064	0	19.3383090119193	0.03341873677175	0	0	0	0.6015372618915	0	1.09167873454383	0	0.389885262337084	1.88258883814192	0.829898629831792	0.016709368385875	0.712933051130667	1.5372618915005	1.04712041884817	0	0	0.0556978946195834	1.65979725966358	0	0.250640525788125	0	0.896736103375292	2.77932494151721	4.38899409602317	0.183803052244625	0.211651999554417	0	0.150384315472875	0	1.04712041884817	2.88515094129442	0.384315472875125	1.67650662804946	0.105825999777208	0	0.295198841483792	0	0	0	0	1.65422747020163	0.0445583156956667	3.32516430878913	0.217221789016375	0	0
22010-0065	0	18.3511507399281	0	0	0	6.19952383175389	1.79263339713365	0.0326782129685822	0.807618691937818	0	2.08673731385089	11.2132953643621	0	1.28845525418981	2.16609868820317	2.60492040520984	0.952336492227254	0	0	3.15578170953737	1.46585126744783	1.30712851874329	1.27911862191308	0.149386116427804	0.33611876196256	3.24914803230475	0.0326782129685822	0	0.317445497409085	5.05578637785351	1.60123243546053	0	0.04201484524532	2.91302927034219	1.59656411932216	2.8803510573736	0.0793613743522711	0	0.382801923346249	0.476168246113627	1.40049484151067	0.172727697119649	0	0.480836562251996	0.2100742262266	1.52187106110826	0.0280098968302133	0	0
22010-0066	0	10.1990049751244	0	0	0	4.05117270788913	8.3984837716181	0	0.201374081971097	0	1.91897654584222	3.79057095475006	0	1.43330964226487	1.58730158730159	0.592276711679697	0.379057095475006	0	0	0	7.98389007344231	7.69959725183606	11.5612414119877	0	0.627813314380479	0	5.17649846008055	0	0.793650793650794	0.521203506278133	0.426439232409382	0	0	0.461975835110163	1.14901682065861	1.57545605306799	0	0	0.0592276711679697	1.85974887467425	0.473821369343757	0.284292821606254	0	0	2.13219616204691	0.177683013503909	0	3.7194977493485	0
22010-0067	15.2063448465289	20.9812538625283	0	0	0	0	0.209434869189041	0	0.0515003776694362	0	0	4.41186568701504	0	0	1.18107532788574	0.690105060770446	0.528737210739545	0	0	0.858339627823937	1.95014763441599	0.353635926663462	0.408569662844194	0	0.0995673968275767	2.11151548444689	0.054933736180732	0	0.333035775595688	0.0309002266016617	0.284968756437547	0	0.0583670946920277	0.817139325688388	0.236901737279407	0	0	0	0.151067774497013	4.71400123600906	0.144201057474421	0.624871249055826	0.127034264917943	0	0	0	0.0927006798049852	0	0
22010-0068	21.5034458794232	6.02304974807436	2.78566050848439	0	0	1.27410667747727	5.2759599235536	0	0.920831644176753	2.76828632651879	0	0.735507036543696	0.249029941506921	0.0521225458967974	4.22192621764059	0.833960734348758	0.503851277002374	0	0	2.46713383911508	0.440145943128511	4.94585046620722	0.318526669369317	0	1.34360340533967	0.405397579197313	1.93432559217004	0	0.32431806335785	0.214281577575722	0.776046794463427	2.79724329646146	0.162159031678925	0	0.747089824520762	0.527016852956507	0.0694967278623965	0	2.97098511611745	0.254821335495454	1.77795795447964	2.35709735333295	1.92274280419297	2.53083917298894	1.11773903978688	0.359066427289048	0.185324607633057	1.52892801297272	0
22010-0069	0	12.3055365932526	0	0	2.16649301189236	0	18.8840584917185	1.25390723242195	0.111378579384184	0	0.154492868178062	0	0	0	3.36650738332196	0.564078611719901	0.520964322926023	22.3583515970251	0	0	0.58563575611684	0	1.55930011137858	0	1.13893579563827	2.66590019042144	5.62641468760105	0	0.215571443969389	0.808392914885208	0.0862285775877555	0	0	0.632342902310207	0.402400028742859	0	0.129342866381633	0	1.56648582617756	0	1.29342866381633	1.22516437322603	0	0	2.15571443969389	0	0	0	0
22010-0070	0.0150903534915305	0	0	0	0	0	0.592296374542574	0	0.260308597728902	0	0.275398951220432	0	9.76723129739314	0	0.407439544271325	0.184856830271249	0.580978609423926	0	0	0	0.116950239559362	0.411212132644207	0.445165428000151	0	0.588523786169691	0	0.452710604745916	0	0.0641340023390048	0.0264081186101784	0.407439544271325	0	0	0	0	0	0.0226355302372958	0	0.147130946542423	0.0301807069830611	0	0	0.777153204813823	0	0	0	0.248990832610254	0.369713660542498	0
22010-0071	0	14.2287363403483	0	0	0	6.1966989850514	3.06105904860728	0	2.42874282564285	0	0.165375012159927	16.1548688349168	4.13761795129544	1.95207367294659	0	0.616102986478161	7.67534615259898	0	0	0	0	0	0.314536787833587	0	0.36317649729239	0.165375012159927	0	0.226985310807743	0.168617659457181	0	0	0	0	0.168617659457181	0.411816206751192	0	0.197801485132462	0	0	0	0	0	0	0	0	0	0.201044132429716	0	0.110250008106618
22010-0072	0	16.5984538426558	0	0	6.19069273912384	6.3756252842201	4.48082461725027	0.585114445960285	0.982264665757162	0	0	4.94164013945733	1.36122479915113	0.521449143550099	4.195846596938	1.35212975594967	2.37986963771411	1.74927997574655	0	0	4.70820069728665	2.99226921327876	0.760951947855086	0	0.770046991056541	0	0.275882977110808	0	0.936789449749886	1.27027436713658	0.48810065181143	0	0	0	0	4.79005608609974	0.34864332272245	0	0.394118538729726	0	2.44050325905715	0.375928452326815	0	0	0.218281036834925	0	0.885250871608307	0	0
22010-0073	0	6.07094133697135	0	0	0.129604365620737	1.38472032742156	0.266030013642565	0	0.82537517053206	0	0	0.190995907230559	0	0	4.77489768076398	1.5075034106412	0.572987721691678	0	0	0	0	0	1.16643929058663	0	0.627557980900409	0.600272851296044	0.184174624829468	0	4.62482946793997	2.46930422919509	0.38881309686221	0.0750341064120055	0	0.266030013642565	1.43929058663029	0	0	0	1.31650750341064	0	0.907230559345157	0	0.661664392905866	0	0	0	0.177353342428377	0	0
22010-0074	0	35.9356838434715	17.711158465711	0.237311119721038	0	0.949244478884153	1.75803951956606	0	0.368074389771406	0	2.80898876404494	0	2.73634250290585	0	0.426191398682681	2.1793878341728	3.10441689267726	2.73149941882991	0	1.25435877566835	1.41902363425029	0.629600929872143	0.266369624176676	0	0.227624951569159	1.82584269662921	0.87175513366912	0	1.07032158078264	1.04610616040294	0	0	1.15749709414955	2.37795428128632	0.174351026733824	0	0.0774893452150329	0	0.10654784967067	0.65381635025184	0	0	0	1.19624176675707	0	0	0	0	0
22010-0075	6.98131760078663	1.71419206817437	0.34742707309079	0	0	0.530973451327434	4.0117994100295	0	0.452310717797443	0	0.445755490003278	0	2.19600131104556	0.878400524418224	2.94001966568338	0.222877745001639	0.521140609636185	0	0	2.45165519501803	1.51425762045231	0.0131104555883317	0.69485414618158	0	3.72664700098328	0	0.884955752212389	0.376925598164536	0.353982300884956	0	0.770239265814487	0	0	0	0	0	0.468698787282858	0	0	0.00327761389708292	0	0.44903310390036	0	0.996394624713209	1.76335627663061	0	0	1.79613241560144	0
