feature	ASV2	ASV3	ASV7	ASV15	ASV17	ASV31	ASV50
22010-0001	36.6687078995713	3.01285976729945	57.8444580526638	0.0612369871402327	0.0489895897121862	0.0612369871402327	0
22010-0002	0.161870503597122	44.3705035971223	0	13.5791366906475	0.0899280575539568	16.0431654676259	1.83453237410072
22010-0003	95.432318292954	1.04467659479884	0.0889086463658591	0	0	0.444543231829295	0.344521004667704
22010-0004	0.317460317460317	27.4263038548753	8.16326530612245	0.793650793650794	4.03628117913832	2.23356009070295	2.6984126984127
22010-0005	0.150323774283071	30.5157261794635	0	5.8163737280296	5.98982423681776	2.70582793709528	0.959759481961147
22010-0006	39.5780051150895	25.7928388746803	0.20460358056266	0.0383631713554987	0.664961636828645	0.61381074168798	26.2915601023018
22010-0007	10.1964857612741	27.6811217865489	0	0.121180645719726	0.830952999220982	0.804985717995326	0.0519345624513113
22010-0008	3.58563623826447	4.0524054527131	2.02089853073781	1.23057338354639	1.85116427093831	1.7875139235135	4.91168514294807
22010-0009	0.276096421365615	1.52914941064033	0.254858235106722	65.1375172560263	0.148667303812254	0.138048210682808	0.0743336519061272
22010-0010	12.9798732761834	0.652254938501677	59.7558702944465	0	0	0.0279537830786433	0.0838613492359299
22010-0011	0.462028439420446	1.42645673529808	4.92531287848203	24.6310501054143	0	0.242228502220428	0.148028529134706
22010-0012	11.2336697175937	1.85402487678949	54.3769068293828	1.42376593913792	0.0782288977548306	2.89446921692873	0.672768520691543
22010-0013	0.304185767533525	5.60387301315282	1.65374234180198	0.244205475343816	0.981106207960242	3.40602373505848	0.0128529197549377
22010-0014	3.26708888403582	1.17492902380432	14.9901725267526	2.3542258134964	1.04826381305962	4.88753002839048	4.06639004149378
22010-0015	0.212539851222104	2.19978746014878	0.340063761955367	54.1657810839532	0.361317747077577	0.26567481402763	15.8129649309246
22010-0016	67.9733302678469	0.22991148407863	0	2.05770778250374	0	0	0
22010-0017	17.2895022484106	5.7011422959632	11.3557657517961	4.92582829379232	1.48860288416809	17.971778570321	5.16876001447253
22010-0018	0.0566813093382457	11.0528553209579	0	27.7313305937367	0.0708516366728071	0	0.0708516366728071
22010-0019	46.6338639652677	1.91027496382055	0.0926193921852388	0.468885672937771	0.439942112879884	5.4356005788712	14.1302460202605
22010-0020	74.7994885505056	0.348715564338022	0.081366965012205	0	0.139486225735209	2.02255027316053	3.80099965128444
22010-0021	99.6769272188818	0.0448712195997487	0.035896975679799	0	0	0	0.0179484878398995
22010-0022	58.0089499172439	0.68043891374977	14.1175749402317	1.75933304726292	0	2.04131674124931	0.521056825844418
22010-0023	6.42084562438545	38.6725663716814	1.16027531956735	0.511307767944936	7.38446411012783	6.96165191740413	0.629301868239921
22010-0024	3.63496373140981	0.656481744134214	1.28459699315152	31.0451027272359	0	2.14774891599465	0
22010-0025	88.6641618035015	0.215844591893836	0	0.10392517387481	0.151890638740107	0.503637381085618	1.20713086577664
22010-0051	13.632608096943	9.39135224456073	29.5373175433765	0	1.00523271825943	1.84522170201047	0
22010-0052	18.6547284297765	3.13748705046618	33.446795915347	0	2.382714222288	3.78866360811011	5.8827882196241
22010-0053	11.1470188749941	2.56662451407428	52.3628869842162	3.02093578755093	0.740012177415578	1.35825019905391	0.365322467331741
22010-0054	7.05858828234353	24.375124975005	33.9832033593281	0	1.4497100579884	0.26994601079784	0
22010-0055	0.672525107604017	6.77905308464849	1.32711621233859	20.1667862266858	0.40351506456241	0.40351506456241	32.8461262553802
22010-0056	0.570450656018254	6.83318392959009	3.70385461657567	20.2387743460191	1.60541113193709	3.84239263303724	11.0871159644691
22010-0057	0.244523688232298	1.68619460010188	1.11563932755986	69.8624554253693	0.0356597045338767	0.32093734080489	1.39582272032603
22010-0058	0.12085200664686	52.8173624049549	0.604260033234302	5.52897930409386	7.48778891182839	2.47746613626064	0.0302130016617151
22010-0059	7.66137140559019	12.7287351699176	58.7070178966419	0.0502714659159461	0.251357329579731	0.39211743414438	0
22010-0060	1.39253809774041	5.88544403573305	35.5294272201787	0.151077246452969	1.55018392012612	22.7141355754073	1.91145559642669
22010-0061	0.0935374149659864	35.0595238095238	0.0340136054421769	0	10.6972789115646	1.41156462585034	2.11734693877551
22010-0062	0	19.8962826042308	0	59.5245430273157	2.69562538508934	5.80201273362087	0
22010-0063	0.0900292595093405	17.9552104433941	0	0.120976817465676	5.37643484132343	9.03950033760972	7.03916272788656
22010-0064	0	27.0357580483458	0.03341873677175	0.389885262337084	6.58349114403476	4.95711262114292	3.54795588726746
22010-0065	0	32.0573269221792	0	8.52434526866159	15.1580225012838	6.44694458708744	0.312777181270716
22010-0066	0	41.3290689410092	0	7.73513385453684	6.2544420753376	8.91968727789624	0
22010-0067	51.9467142759047	27.2299663530866	0	0	5.64100803405892	6.16631188628717	0.0309002266016617
22010-0068	21.5150286674002	29.9820466786355	5.55394683500319	1.27410667747727	5.9072218683037	1.62738171077778	0.13320206173626
22010-0069	0	62.1636187259728	2.16649301189236	0.154492868178062	9.34502209607301	3.48507167750512	0.258685732763267
22010-0070	0.0150903534915305	11.698796544309	0	0.275398951220432	1.30531557701739	0.207492360508545	0.565888255932395
22010-0071	0.204286779726969	33.9375466130549	0	6.36207399721132	25.2083400888485	1.80939719186744	0.66150004863971
22010-0072	0.236471123237835	29.9984841594664	6.19069273912384	6.3756252842201	11.8932848264363	5.6722752766409	7.08200697286645
22010-0073	0	16.5416098226467	0.129604365620737	1.38472032742156	1.88949522510232	8.1787175989086	5.27285129604366
22010-0074	0	47.7285935683843	17.7353738860907	5.85528864781093	2.52808988764045	6.50910499806277	1.04610616040294
22010-0075	8.79711569977056	21.3864306784661	0.34742707309079	1.28482464765651	6.09636184857424	2.63847918715175	5.73582431989512
